repository,owner_repo,tags,zip_sha256
https://github.com/Euamobi4582/gemini-bridge-mcp,Euamobi4582/gemini-bridge-mcp,mcp,6f9afd2529ff98d881bb4a002f558cc1dc8e1ef65da6bc7f50cd712b1d2e9e6a
https://github.com/Euphonic-treesparrow658/how-claude-code-works,Euphonic-treesparrow658/how-claude-code-works,claude,f3f9b25bfda28eda3939515c057fb17adbd8df03b36a364eb4954ba9356354b2
https://github.com/Excaliber9271/asterdex-mcp-server,Excaliber9271/asterdex-mcp-server,mcp,63cb52f08882ebfd0c53e7fa81bf41ccdee808d00ae009ee943827fbdac3bff9
https://github.com/FLORCRIOLLO/blueosint,FLORCRIOLLO/blueosint,parser,5ff3fd592a37c05dd070b38f83c546381bf096c77d71116c7bbe407b016bb106
https://github.com/FadedSwatz/quickrss.koplugin,FadedSwatz/quickrss.koplugin,plugin,d7eaced773daf071625d8b9e83410b3c132137ef0cff81ab6f05ff1a9326db2f
https://github.com/Farbod148/seo-research-mcp,Farbod148/seo-research-mcp,mcp,51aba9932d2c0e3e3dc5b5f9b1bdc224ba1923f9a1f85c9396f72358a3a8b7f1
https://github.com/FarhanSaeed/YouTube-Summary-Scraper,FarhanSaeed/YouTube-Summary-Scraper,parser,dceac65c41a676181276662d3823bb5c4e20dbe277a7a92a1416807aa8b1a521
https://github.com/FezAreCool/mcp-claude-hackernews,FezAreCool/mcp-claude-hackernews,mcp,claude,8c8d972f2928be51bcc8e21393957b11cdc9f53995ed1883587a9f7d9d07d7b7
https://github.com/Frenyermmlmmk/claude-cognitive,Frenyermmlmmk/claude-cognitive,claude,be72b2be45ffdca2ca3132cf22bb15ee428470a4c4e2577d43a725d75c024af3
https://github.com/GTA509FX/scrappe-tout,GTA509FX/scrappe-tout,parser,48530a8dde1d0bd05de229c42cb778dc58189b8a5d9b9b14a32cac10bdec5475
https://github.com/Gabssama12/plugin.video.netflix,Gabssama12/plugin.video.netflix,plugin,546c4862cfcb3296d44719c4f6dd9cbd7eac9cad01dd51156b0a547c363bd757
https://github.com/Gabssama12/spoon-awesome-skill,Gabssama12/spoon-awesome-skill,skill,8f6d21fd45f06e89b4ccd292c47badf5b649639c228c921865d7e3a8a4d533df
https://github.com/Gaelonchas/producthunt-skills,Gaelonchas/producthunt-skills,skill,1be9ee8cee1b07ef55736b23c25c3b5fd2c96f4e9c8aa15deb79eaed64b29ae4
https://github.com/Gak6900/awesome-frontend-skills,Gak6900/awesome-frontend-skills,skill,a3a026a8e838b63d6805889fe69555d8ddc3ff02b02813b6dbbde98e40ab3af3
https://github.com/Gaming12325/jiamu-skills,Gaming12325/jiamu-skills,skill,d8f77875b2f30fa3f1226ca018550823395c6e1101438bf8630f53e52cfe5cc2
